"","lat","long","sand","clay","coarse","pH_in_H2O","LU","NPP","OC09","OC15","OC18","SOC09","uSOC09","SOC15","uSOC15","SOC18","uSOC18"
"6971","43.02692","-2.92919","12","25","5","5.84","C10","7.995","27.3","103.6","27.3","6.31015387068006","0.631015387068006","17.2097477851865","1.72097477851865","6.31015387068006","1.72097477851865"
"6972","42.72182","-2.8874","15","35","29","8.15","CR","6.3615","11.5","3.8","10.4","2.63322188132164","0.263322188132164","0.942811838181436","0.0942811838181436","2.40762600929261","0.0942811838181436"
"6973","42.66849","-2.87578","19","40","23","8.01","SHR","5.348","35.7","30.8","58.6","6.96985868036657","0.696985868036657","6.22978010863089","0.622978010863089","10.0889478243267","0.622978010863089"
"6974","43.28358","-3.06219","31","30","7","5.46","E10","8.1265","68.4","85","111.4","12.5531539043286","1.25531539043286","14.8710650973094","1.48710650973094","18.6444863031249","1.48710650973094"
"6975","43.1593","-3.0343","28","23","29","4.33","C20","8.211","55","102.1","40.1","9.5345936101368","0.95345936101368","15.6810985175852","1.56810985175852","7.49544932362171","1.56810985175852"
"6976","42.8044","-2.95531","16","30","14","7.43","C20","8.2335","30.8","161.5","56.5","6.60327440018911","0.660327440018911","24.8827142979722","2.48827142979722","10.3353945571277","2.48827142979722"
"6977","43.01121","-3.05079","45","21","25","7.12","C30","10.394","94.5","98.5","98.7","15.4051476741177","1.54051476741177","15.9588561601902","1.59588561601902","15.9866122438063","1.59588561601902"
"6978","42.79192","-3.05164","18","35","14","8.21","CR","5.415","14.4","10.7","10.5","3.58500201378049","0.358500201378049","2.77313979550482","0.277313979550482","2.72740276914747","0.277313979550482"
"6979","42.82464","-3.07924","4","34","8","6.74","C10","6.008","44.3","51.3","17","8.72009161200913","0.872009161200914","9.68986143802873","0.968986143802873","4.20961657738102","0.968986143802873"
"6980","43.21336","-3.32108","36","20","25","6.21","E20","7.0755","30.6","34.3","33.3","6.32491252789741","0.632491252789741","6.91030184159171","0.691030184159171","6.75426720731294","0.691030184159171"
"6981","43.26334","-3.35758","69","13","12","5.93","C10","14.419","64.8","54.1","40.6","12.6303072155804","1.26303072155804","11.0015182114828","1.10015182114828","8.86056816044799","1.10015182114828"
"6982","43.22791","-3.34942","21","29","39","5.27","E20","11.036","47","25.8","36.7","7.74743933059103","0.774743933059103","4.82612611350325","0.482612611350325","6.39270033305899","0.482612611350325"
"6983","42.67222","-2.70366","22","37","25","7.77","CR","5.677","13.7","11.7","13.5","3.18668566579866","0.318668566579866","2.77641925904908","0.277641925904908","3.14636514219547","0.277641925904908"
"6984","42.20419","0.47479","30","21","3","8.09","CR","5.833","11.9","9.6","5.6","3.32235082959956","0.332235082959956","2.75313556525183","0.275313556525183","1.68671439405308","0.275313556525183"
"6985","42.11466","0.48894","29","23","15","8.09","CR","5.6135","45.9","14.2","18.6","9.03396354487536","0.903396354487536","3.58644489910485","0.358644489910485","4.49674067198241","0.358644489910485"
"6986","41.93748","0.34704","27","17","25","7.97","CR","5.1765","13.3","11.8","15.2","3.15922617728101","0.315922617728101","2.84438770596395","0.284438770596395","3.54565707229734","0.284438770596395"
"6987","41.91726","0.326","15","10","6","7.7","CR","4.584","17.7","30","19.2","4.53150497376147","0.453150497376147","6.8536670251427","0.68536670251427","4.84104821403198","0.68536670251427"
"6988","41.75611","0.35162","42","21","10","8.04","CR","7.249","12.8","17.6","14.8","3.43378514064629","0.343378514064629","4.49384816736009","0.449384816736009","3.88756451202972","0.449384816736009"
